"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","recordedBy","year","month","day","continentOcean","barcode","imagecode","identifiedBy","recordNumber","locality","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1205","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2008","05","08","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1240","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2008","05","08","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:12:05-03","NBC","NL-BOTANY","L.3737152","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3737152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Buckup L","2003","12","22","Southern America","NL-L3737152","NL-L3737152",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-19 08:08:01-03","FPS","FPS","763","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2015","11","26","Brasil","Santa Catarina","São Bento do Sul","-49.309811","-26.311467",NA,NA,NA,NA,NA,"Schwirkowski, P.","2015","02","15",NA,"FPS00763,FURB48405","FPS00763_v01 FPS00763_v02 FPS00763_v03 FPS00763_v04 FURB48405","Romanini, R.P.","1022","Rio Vermelho. Trilhos, Próx. à URVE.","-49.309811","-26.311467","voucher","FURB 48405",NA,NA
"5","2019-12-19 08:08:01-03","FPS","FPS","1868","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2010","08","29","Brasil","Santa Catarina","São Bento do Sul","-49.276775","-26.362928",NA,NA,NA,NA,NA,"Schwirkowski, P.","2010","08","29",NA,"FPS01868","FPS01868_v01 FPS01868_v02","Schwirkowski, P.",NA,"Rio Natal - Trilha do Parque das Aves","-49.276775","-26.362928",NA,NA,NA,NA
"6","2019-12-19 08:08:01-03","FPS","FPS","258","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2015","11","26","Brasil","Santa Catarina","São Bento do Sul","-49.321661","-26.295227",NA,NA,NA,NA,NA,"Schwirkowski, P.","2014","10","18",NA,"FPS00258","FPS00258_v01 FPS00258_v02","Romanini, R.P.","467","Rio Vermelho - Trilhos próximo à URVE","-49.321661","-26.295227",NA,NA,NA,NA
"7","2019-12-19 08:08:01-03","FPS","FPS","2932","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2017","09","02","Brasil","Santa Catarina","São Bento do Sul","-49.304029","-26.341313",NA,NA,NA,NA,NA,"Schwirkowski, P.","2017","09","02",NA,"FPS02932,FURB55845","FPS02932_v01 FPS02932_v02 FPS02932_v03 FPS02932_v04 FPS02932_v05 FURB55845","Schwirkowski, P.","2359","Rio Natal. Linha férrea. Rabo do Macaco","-49.304029","-26.341313","voucher","FURB 55845",NA,NA
"8","2019-12-19 08:08:01-03","FPS","FPS","930","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2015","11","26","Brasil","Santa Catarina","São Bento do Sul","-49.306137","-26.341701",NA,NA,NA,NA,NA,"Schwirkowski, P.","2015","08","22",NA,"FPS00930,CESJ070892,FURB48559","FPS00930_v01 FPS00930_v02 FPS00930_v03 FPS00930_v04 FURB48559","Romanini, R.P.","1193","Rio Natal. Trilhos, Rabo do Macaco.","-49.306137","-26.341701","voucher","FURB 48559, CESJ 70892",NA,NA
"9","2019-08-27 13:25:13-03","IAP","PACA-AGP","29867","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2019","02",NA,"Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611","21601",NA,"VULNERÁVEL Habitat: in silva primaeva ad arbores Fenofase: fruto","auto","Liliatae","E. Friderichs","1945","05","21",NA,"PACA029867",NA,"Romanini, R.P.",NA,"Kappesberg",NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:00:04-03","FURB","FURB","55845","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2017","09","02","Brasil","Santa Catarina","São Bento do Sul","-49.3041667","-26.3413889",NA,NA,"Flores amarelas. Interior da mata Habitat: CIófita Habito: Epífita",NA,NA,"Schwirkowski, P.","2017","09","02",NA,"FURB55845","FURB55845","Schwirkowski, P.","2359","Rio Natal. Linha férrea. Rabo do Macaco. Descendo os trilhos, sentido Igreja de Rio Natal.","-49.3041667","-26.3413889",NA,NA,"600","600"
"11","2020-10-14 10:00:04-03","FURB","FURB","56802","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2017","12","13","Brasil","Santa Catarina","Corupá","-49.3444444","-26.3986111",NA,NA,"Flores amarelas Habitat: Floresta Habito: Epífita",NA,NA,"Funez, L.A.; Hassemer, G.","2017","07","19",NA,"FURB56802","FURB56802","Funez, L.A.","6779","Rota das Cachoeiras.","-49.3444444","-26.3986111",NA,NA,"447","447"
"12","2018-03-09 13:22:00-03","MO","MOBOT","2452087","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,"1",NA,NA,NA,"Winkler","1975","4","9","South America",NA,NA,NA,"Winkler 21","Santa Cruz do Sul. ca. 6 km from Santa Cruz do Sul on the rod to Monte Negro and Porto Alegre",NA,NA,NA,NA,NA,NA
"13","2016-08-26 09:16:13-03","UFSM","HDCF","6555","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2014","05","09","Brasil","Rio Grande do Sul","Santa Cruz do Sul","-52.4258003234863","-29.7175006866455","38612",NA,"Epífita na base de árvores. Pétalas amarelas, sépalas vermelhas","auto",NA,"Büneker, H. M.; Witeck, L.; Pontes, R.","2012","11","26","América",NA,NA,"Büneker, H. M.","114",NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:27-03","FZB-BH","BHZB","7890","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri",NA,NA,NA,NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082",NA,"BRO2002006 Cultivado. Bráctea pequena e vermelha.","auto",NA,"Ferreira Junior, C.A. et al.","2009","12","14",NA,NA,NA,NA,NA,"FZBBH - Coleção de Plantas Exóticas e Sem Procedência CVJBFZB1205",NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:27-03","FZB-BH","BHZB","11606","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri",NA,NA,NA,NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082",NA,"Planta com folhas verdes , inflorescência marrom com brácteas vináceas, flores com ovário laranja , cálice verde e corola amarela.unicata","auto",NA,"Swerts, M.","2016","07","27",NA,NA,NA,NA,"21","FZBBH-Jardim Botânico- Coleção de Mata Atlântica e Flores Tropicais, CVJBFZB1240",NA,NA,NA,NA,NA,NA
"16","2021-01-26 14:12:30-03","CPACT","ECT","5289","PreservedSpecimen","Plantae","Embryophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2019","04","16","Brasil","Rio Grande do Sul","Pelotas","-52.443889","-31.679722",NA,NA,NA,NA,NA,"D.B.Dutra","2019","04","04",NA,"ECT0005289","ECT0005289","A.C.Lima",NA,"Embrapa Clima Temperado, Sede, estufa de plantas ornamentais. Procedência desconhecida. Cultivada em casa de vegetação.","52º26'38''W","31º40'47''S",NA,NA,"50","50"
"17","2021-02-08 12:50:44-03","UFRGS","ICN","189267","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","RS","Santa Cruz do Sul","-52.436361","-29.691972",NA,NA,"testemunho do projeto de mestrado intitulado: Filogeografia e diversidade genética de Aechmea caudata (Lindman) e A. winkleri (Reitz) (Bromeliaceae): implicações taxonômicas.; planta com flores amarelas e sépalas vermelhas com o ápice v",NA,NA,"Goetze, M","2009","04","16","América do Sul","ICN00039125",NA,NA,"s.n.","Rua João Valdemar da Fontoura dentro da área denominada Cinturão Verde. 29° 41.519'S / 52° 26.182'W","-52.436361","-29.691972",NA,NA,NA,NA
"18","2021-02-08 12:50:44-03","UFRGS","ICN","191152","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","SC","Corupá","-49.335","-26.403333",NA,NA,"Testemunho do projeto intitulado: Padrões filogeográficos de espécies endêmicas do subgênero Ortgiesia (Aechmea - Bromeliaceae) no Sul da Mata Atlântica: implicações evolutivas e conservacionistas; Flores com pétalas amarelas; Epífita",NA,NA,"Goetze, M","2010","07","24","América do Sul","ICN00039127",NA,NA,"s.n.","RPPN Emílio Batistella","-49.335","-26.403333",NA,NA,"261","261"
"19","2021-02-08 12:50:44-03","UFRGS","ICN","115169a","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","RS","Santa Cruz do Sul","-52.4258003234863","-29.7175006866455","38612",NA,"Espécie ameaçada de extinção (Em perigo).","auto",NA,"Gonçalves, CN",NA,NA,NA,"América do Sul","ICN00039141",NA,"Gonçalves, CN","s.n.",NA,NA,NA,NA,NA,NA,NA
"20","2021-02-08 12:50:44-03","UFRGS","ICN","101637","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2018","10",NA,"Brasil","RS","Santa Cruz do Sul","-52.4258003234863","-29.7175006866455","38612",NA,"epífito localmente comum, inflorescência fenecida; em interior de mata úmida","auto",NA,"Waechter, JL","1991","12","06","América do Sul","ICN00039138",NA,"Romanini, R","2509","Linha 15 de Novembro (Trombudo)",NA,NA,NA,NA,NA,NA
"21","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","30592","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Rio Grande do Sul","Santa Cruz do Sul","-52.4258","-29.7175",NA,NA,"Cultivada viva no Jardim Botânico. Inflorescência maio/junho 89/90",NA,NA,"Strehl, T.",NA,NA,NA,NA,"HAS0030592",NA,NA,"s.n.",NA,"-52,4258000","-29,7175000",NA,NA,NA,NA
"22","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","31022","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Rio Grande do Sul","Santa Cruz do Sul","-52.4258","-29.7175",NA,NA,NA,NA,NA,"Strehl, T.","1988","05",NA,NA,"HAS0031022",NA,"Strehl, T.","1030",NA,"-52,4258000","-29,7175000",NA,NA,NA,NA
"23","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","66424","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","1994","10","19","Brasil","Rio Grande do Sul","Tenente Portela (Derrubadas - RS)",NA,NA,NA,NA,"Cultivada no JB. Frutificou em 10/10/1994",NA,NA,"Silveira, N.","1989","10",NA,NA,"HAS0066424",NA,"Strehl, T.","s.n.","Parque Estadual do Turvo,",NA,NA,NA,NA,NA,NA
"24","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","66534","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Rio Grande do Sul","Santa Cruz do Sul","-52.4258","-29.7175",NA,NA,NA,NA,NA,"Strehl, T.","1995","12",NA,NA,"HAS0066534",NA,NA,"1420",NA,"-52,4258000","-29,7175000",NA,NA,NA,NA
"25","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","18788","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","1984","10","19","Brasil","Rio Grande do Sul","Rio Pardo","-52.378101348877","-29.9897003173828","46320",NA,"Planta com flores amarelas e folha verde escuro. JB 020","auto",NA,"Strehl, T.","1983","06",NA,NA,"HAS0018788",NA,"Strehl, T.","742",NA,NA,NA,NA,NA,NA,NA
"26","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","66505","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Rio Grande do Sul","Rio Pardo","-52.378101348877","-29.9897003173828","46320",NA,"Floresceu em cultivo no Jardim Botânico n 20, frutificou em outubro.","auto",NA,NA,"1994","10",NA,NA,"HAS0066505",NA,NA,"s.n.","Rio Pardo,",NA,NA,NA,NA,NA,NA
"27","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","66546","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Rio Grande do Sul","Santa Cruz do Sul","-52.4258003234863","-29.7175006866455","38612",NA,NA,"auto",NA,"Strehl, T.","1995","10",NA,NA,"HAS0066546",NA,NA,"1408","Santa Cruz do Sul,",NA,NA,NA,NA,NA,NA
"28","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","31018","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Santa Catarina","Corupá","-49.2430992126465","-26.4253005981445","23917",NA,NA,"auto",NA,"Silva, J.","1990","09",NA,NA,"HAS0031018",NA,"Strehl, T.","047",NA,NA,NA,NA,NA,NA,NA
"29","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","66423","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Santa Catarina","Corupá","-49.2430992126465","-26.4253005981445","23917",NA,"Floresceu em cultivo. Doado da coleção viva do Dr. Jones Caldas da Silva.","auto",NA,NA,"1994","10",NA,NA,"HAS0066423",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
"30","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","70680","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Santa Catarina","Corupá","-49.2430992126465","-26.4253005981445","23917",NA,"Epífita. Inflorescência vermelha, flores amarelas.","auto",NA,"Silveira, N.","1994","07",NA,NA,"HAS0070680",NA,"Strehl, T.","12313","Na Serra para São Bento do Sul.",NA,NA,NA,NA,NA,NA
"31","2020-12-03 09:40:44-03","IBt","SP","405316","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brasil","Rio Grande do Sul","Santa Cruz do Sul","-52.4258003234863","-29.7175006866455","38612",NA,NA,"auto",NA,"Goetze, M","2008","11","05",NA,NA,NA,"Louzada, RB","s.n.",NA,NA,NA,NA,NA,NA,NA
