"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","imagecode","coordinatePrecision","geoFlag","preparationType","individualCount","fieldNumber","continentOcean","typeStatus"
"1","2019-08-27 13:28:26-03","IAP","PACA-AGP","103386","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","Fank-de-Carvalho","Fank-de-Carvalho","124","2008","09","20","Brasil","GO","Alto Paraíso de Goiás","RPPN Cara Preta.","-47.51825","-14.008183","47°31.095'W","14°00.491'S","1509","1509","Confirmado por M.S. marcgioretto em 01.2009 Habitat: só encontrada na área campo limpo e úmido de Cerrado, solo arenoso e com rochas","PACA103386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:26-03","IAP","PACA-AGP","103395","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","Fank-de Carvelho","Fank-de-Carvalho","119 a-b","2008","06","29","Brasil","GO","Alto Paraíso de Goiás","RPPN Cara Preta.","-47.517617","-14.00845","47°31.057'W","14°00.507'S",NA,NA,"Confirmado por M.S. Marchioretto em 01.2009 Habitat: só encontrada em área de campo limpo e úmido de Cerrado, solo arenoso e com rochas","PACA103395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:26-03","IAP","PACA-AGP","116299","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","Marchioretto, M.S.","Verdi, M.","7341","2014","11","26","Brasil","GO","Cavalcante","Parque Nacional da Chapada dos Veadeiros, Pouso Alto","-47.494444","-13.943056","47º29'40''W","13º56'35''S","1462","1462","altura: 40 cm; área recentemente queimada Habitat: em solo arenoso úmido, cerrado, campo limpo Hábito: arbusto","PACA116299","2017","03","06",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:28:26-03","IAP","PACA-AGP","85786","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R. E. Fr.","M.S. Marchioretto","M.L. Fonseca","585","1995","09","26","Brasil","GO","Alto Paraíso","Parque Nacional Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,"erva heliófita, pilosa, botões florais branco-amarronzados; Habitat: no cerrado queimado, sobre morro pedregoso","PACA085786","1999","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:21:15-03","UNICAMP","UEC","157270","S","Plantae","Magnoliopsida",NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","Fank-de-Carvalho, SM","Fank-de-Carvalho, SM; Emery, E; Name, K","124","2008","09","20","Brazil","Goiás","Alto Paraíso de Goiás","RPPN Cara Preta, Folha: SD-23Y-A","-47.516944","-14.002222","-47.516944","-14.002222","1509","1509","Erva 0,2-0,4m alt. Inflorescência terminal sem folhas involucrais, brácteas verde-avermelhadas, anteras amarelas ou avermelhadas. Folhas mucronadas, verde discolores. Caule ereto, piloso, esbranquiçado. Parte subterrânea bem desenvolvi","UEC008104","2008","09",NA,"UEC008104",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-01 15:33:01-03","PUC-RIO","FCAB","6919","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","Fank de Carvalho, S.M.","S.M.F. Carvalho; Emery, E.; Name Khesller","124","2008","09","20","Brasil","Goiás","Alto Paraíso de Goiás","RPPN Cara Preta, Folha: SD-23-Y-A. Solo arenoso com rochas próximas. vegetação campo limpo de cerrado.","-47.516944","-14.002222","-47.516944","-14.002222","1509","1509","Erva de 0,20-0,40m altura. Inflorescência terminal sem folhas involucrais, brácteas verde-avermelhadas, anteras amarelas ou avermelhadas. Folhas nucronadas, verdes discolores. Caule ereto, pilosos, esbranquiçado. Parte subterrânea bem des","006919","2008","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-01 15:27:48-03","PUC-RIO","FCAB","6079","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"A.P. Duarte","9433","1967",NA,NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,"006079","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5710","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"C. Munhoz; N. Rodrigues; K.M.O. Ramos","1903","2000","09","02","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria, cerca de 10km em direção a Tere","-47.5099983215332","-14.1324996948242",NA,NA,"1448","1448","&nf;; Erva com cerca de 30 cm. Botões novos amarelos. Rasteira. Muito frequente.; Campo limpo úmido, borda de cerrado rupestre e mata de galeria. Solo arenoso.","005710",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"9","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5709","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"C. Munhoz; N. Rodrigues; K.M.O. Ramos","1904","2000","09","02","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Erva com cerca de 30 cm. Botões novos avermelhados. Rasteira. Raízes tuberosas.","005709",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"10","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5713","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"C. Munhoz; N. Rodrigues; K.M.O. Ramos","1979","2000","09","23","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Cerca de 30 cm. Flores velhas. Muito frequente.","005713",NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"11","2019-11-01 15:27:48-03","PUC-RIO","FCAB","5708","PreservedSpecimen","Plantae",NA,NA,"Angiospermae","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","C. Munhoz","C. Munhoz; N. Rodrigues; K.M.O. Ramos","1825","2000","08","16","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria, cerca de 10km em direção a Tere","-47.5099983215332","-14.1324996948242",NA,NA,"1488","1488","&nf;; Erva com cerca de 20 cm. Botões jovens.; Campo limpo, borda de cerrado ruprestre e mata de galeria.","005708","2000",NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"12","2020-06-15 15:28:13-03","UNESP-RC","HRCB","24221","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","(Lopr.) Fries, R.E.","Marchioretto, M.S.","Fonseca, M.L.","585","1995","09","26","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional Chapada dos Veadeiros.","-47.769722","-14.769722","47º46'11W","14º46'11S","1155","1155","Erva heliófita, pilosa; botões florais branco-amarronzados.",NA,"1999","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-15 15:28:13-03","UNESP-RC","HRCB","24217","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","(Lopr.) Fries, R.E.","Marchioretto, M.S.","Silva, M.A. da","2410","1994","11","24","Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Erva ca. 0,5m de altura, botões florais amarelo-arroxeados, folhas discolores com pilosidade abaxial",NA,"1999","01",NA,NA,"44724","auto",NA,NA,NA,NA,NA
"14","2020-09-02 16:19:12-03","Cenargen","CEN","71919","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","S. M. Fank-de-Carvalho","S.M. Fank-de-Carvalho","124","2008","09","20","Brasil","GO","ALTO PARAISO DE GOIAS","RPPN Cara Preta. Folha: SD-23-Y-A.","-47.5099983215332","-14.1324996948242","-47516944.0","-14002222.0","1509","1509","Solo arenoso com rochas próximas. Erva de 0,20-0,40 m altura. Inflorescência terminal sem folhas involucrais, brácteas verde-amareladas, anteras amarelas ou avermelhadas. Folhas mucronadas, verdes discolores. Caule ereto, piloso, esbranquiçado. Parte subterrânea bem desenvolvida, tuberosa. Doação do IBGE - Plantas do Brasil - Goiás ( 66303).","CEN00071919","2008","09",NA,"CEN00071919","44724","auto","Exsicatas","2",NA,NA,NA
"15","2020-09-02 16:19:12-03","Cenargen","CEN","111362","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","B. M. T. Walter","J. Moises Mendoza F.","5117","2015","12","05","Brasil","GO","CAVALCANTE","GO-118, ca. 35 km de Teresina para Alto Paraiso de Goiás, entrando 100 m da estrada (encosta lado esquerdo).","-47.424722","-13.921666","-47.424722","-13.921666","1430","1430","Erva sem ramificações. Inflorescências creme. Plantas muito dispersas no campo limpo. Cerrado em área montanhosa, encostas e topo das serras cobertas de campo rupestre.","CEN00111362","2019","10",NA,"CEN00111362",NA,NA,"Unicata","1",NA,NA,NA
"16","2020-09-02 16:19:12-03","Cenargen","CEN","94497","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.","M. S. Marchioretto","Márcio Verdi - RB","7341","2014","11","26","Brasil","GO","CAVALCANTE","Parque Nacional Chapada dos Veadeiros, Pouso Alto","-47.494444","-13.943055","-47.494444","-13.943055","1462","1462","Folhas verdes. Área recentemente queimada.. Doação Jardim Botânico do Rio de Janeiro - RB 630844.","CEN00094497","2017","03",NA,"CEN00094497",NA,NA,"Exsicatas","1",NA,NA,NA
"17","2019-10-07 09:18:29-03","UEFS","HUEFS","205477","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Amaranthaceae","Froelichiella","grisea","Froelichiella grisea","R.E.Fr.",NA,"Munhoz, C.B.R.","7837",NA,NA,NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional Chapada dos Veadeiros.","-47.686667","-14.128889","47W41'12''","14S7'44''",NA,NA,NA,"HUEFS0205477",NA,NA,NA,"HUEFS0205477",NA,NA,NA,NA,NA,NA,NA
"18","2018-04-04 16:36:55-03","F","FMNH-SEEDPLANTS","V0428369F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Amaranthaceae","Froelichiella","grisea","Froelichiella grisea",NA,"RRC ID Flag","H. S. Irwin","9289","1965","10","19","Brazil","Goiás",NA,NA,"-48","-12",NA,NA,NA,NA,NA,"V0428369F",NA,NA,NA,"V0428369F_01 V0428369F_02",NA,NA,NA,NA,"9289","South America",NA
"19","2020-04-21 17:38:20-03","F","FMNH-SEEDPLANTS","V0361652F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Amaranthaceae","Gomphrena","grisea","Gomphrena grisea",NA,NA,"A. Glaziou","21968",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0361652F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Isotype"
"20","2018-04-06 15:19:44-03","F","FMNH-SEEDPLANTS","V0428557F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Amaranthaceae","Gomphrena","grisea","Gomphrena grisea",NA,NA,"A. Glaziou","21963",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0428557F",NA,NA,NA,"V0428557F_01",NA,NA,NA,NA,NA,"South America",NA
"21","2014-11-13 10:53:35-02","UM","RECOLNAT_UM_MPU","MPU016002","PreservedSpecimen",NA,NA,NA,NA,"Amaranthaceae","Gomphrena","grisea","Gomphrena grisea","Lopr.","Schäfer","Glaziou, A.",NA,"1894",NA,NA,"Brésil",NA,NA,"Plateau de Goyaz : Rio Corumba in campo",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu016002' target='other'> <mi>dwc_moreinfo</mi></a>","MPU016002",NA,NA,NA,NA,NA,NA,"hb",NA,"21968",NA,"isotype"
