"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","typeStatus","county","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02423470","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A.Mori","M. Ribeiro","1014","2014","05","16","South America","Brazil","Minas Gerais","On side of dirt road (MG114) ca. 5 km northeast of Virgem da Lapa (in area called the <Chapadão>).","-42.33761","-16.79328","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685356' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423470","NY02423470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00684257","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A.Mori","E. T. Neto","2501","1997","03",NA,"South America","Brazil","Minas Gerais","UHE Murta. Chapadão Virgem da Lapa","-42.3433","-16.8047",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=819455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684257","NY00684257_01","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:39:50-03","EAO","IAN","105751","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) Mori","Magalhães, MG","15322","1959","04","09","Southern America","Brasil","Minas Gerais","Vale antes da chapada. Capoeira do tipo caducifolia (mata seca).","-42.3431015014648","-16.8043994903564",NA,NA,"MORI & PRANCE (1990:306) citaram: Type. Brazil. Minas Gerais: Virgem da Lapa, 9 Apr 1959 (fl), Magalhães 15322 (neotype, IAN, here designated).; Árvore de 6-8m de altura; flor alva.&nf;Pouco frequente.","IAN105751",NA,"Mori, SA","1990","neotipo","Virgem da Lapa","37634","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:31:20-03","MN","R","8987","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R. Knuth) S.A. Mori","Glaziou, A.F.M.","14847","1884","01","09",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008987","R000008987_001","Mori, S.","1981",NA,NA,NA,NA,"07","06",NA,NA,NA,NA,NA
"5","2020-04-27 16:10:14-03","UFES","VIES","41569","S","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A.Mori","Ribeiro, M.; Smith, N.P.","1014","2014","04","16",NA,"Brasil","Minas Gerais","Chapadão a 2,5 km da cidade. Solo vermelho e seco.","-42.337778","-16.793333","505",NA,NA,"VIES041569","VIES041569","N.P. Smith & M. Ribeiro","2014",NA,"Virgem da Lapa",NA,NA,"04","16","42º20'16''W","16º47'36''S","505",NA,NA
"6","2015-09-04 16:00:52-03","MNHN","RECOLNAT_MNHN_P","P04613992","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A.Mori","Glaziou, A.",NA,"1884","2","24",NA,"Brasil","Minas Gerais","Patrocinio.",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04613992' target='other'> <mi>dwc_moreinfo</mi></a>","P04613992","P04613992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14847",NA
"7","2015-09-04 16:00:52-03","MNHN","RECOLNAT_MNHN_P","P04613993","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A.Mori","Glaziou, A.",NA,"1884","2","24",NA,"Brasil","Minas Gerais",NA,"-46.9925003051758","-18.9438991546631",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04613993' target='other'> <mi>dwc_moreinfo</mi></a>","P04613993","P04613993_01",NA,NA,NA,"Patrocínio","44638","auto",NA,NA,NA,NA,NA,"14847",NA
"8","2020-12-11 11:37:09-03","UFMG","BHCB","45493","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A. Mori",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2011-03-25 08:43:00-03","MO","MOBOT","3176980","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R. Knuth) S.A. Mori","Auguste F.M. Glaziou","Glaziou 14847","1861",NA,NA,"South America","Suriname",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"10","2020-09-02 16:30:31-03","Cenargen","CEN","45911","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei","(R.Knuth) S.A.Mori.","Maria Lenise Silva Guedes","7507","2000","05","11",NA,"Brasil","BA","Fazenda Rio Fundo.","-37.731111","-11.595","167","Exsicatas","Caule com ritidoma fissurado. Folhas coriáceas, discolores. Frutos pixidios imaturos amarronzados. Doação do Projeto Flora da Bahia. Herbário Alexandre Leal Costa - ALCB (48730). Projeto Financiado pelo CNPq.","CEN00045911","CEN00045911","S. A. Mori","2008",NA,"JANDAIRA",NA,NA,NA,NA,"-37.731111","-11.595","167",NA,"1"
"11","2020-07-23 12:09:50-03","CEPLAC","CEPEC","53462","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei",NA,"W. W. Thomas","8270","1991","07","01",NA,"Brasil","Bahia","7.3Km ao N de Serra Grande, Rod. para Itacaré. Faz. Lagoa. Parcela 32. Árvore #1481.","-39.016667","-14.416667",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"S. A. Mori",NA,NA,"URUÇUCA",NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA
"12","2020-07-23 12:09:50-03","CEPLAC","CEPEC","53477","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei",NA,"W. W. Thomas","8277","1991","07","01",NA,"Brasil","Bahia","7.3KM ao N de Serra Grande, Rod. para Itacaré. Faz. Lagoa. Parcela 32. Árvore #1490.","-39.016667","-14.416667",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"S. A. Mori",NA,NA,"URUÇUCA",NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA
"13","2020-07-23 12:09:50-03","CEPLAC","CEPEC","54020","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei",NA,"W. W. Thomas","8353","1991","07","01",NA,"Brasil","Bahia","7.3Km ao N de Serra Grande, Rod. para Itacaré. Faz. Lagoa Parcela 34. Árvore #1622","-39.016667","-14.416667",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"S. A. Mori",NA,NA,"URUÇUCA",NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA
"14","2020-07-23 12:09:50-03","CEPLAC","CEPEC","147242","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","schwackei","Lecythis schwackei",NA,"M. Ribeiro","1014",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"-42.3431015014648","-16.8043994903564",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"N.P. Smith",NA,NA,"Virgem da Lapa","37634","auto",NA,NA,NA,NA,NA,NA,NA
